year,geo,hh,house_disp,employ_hash_education,employ_total,employ_f,employ_m,not_employ_total,population,child_avg_allwk,child_avg_allnowk,child_avg
2005.0,EE,HHC_31,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EE,HHC_32,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EE,HHC_41,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EE,HHC_42,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_21,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_22,804.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_31,333.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_32,332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_41,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,EL,HHC_42,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_21,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_22,326.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_31,173.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_32,153.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_41,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,ES,HHC_42,35.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_21,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_22,409.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_31,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_32,154.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_41,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FI,HHC_42,34.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FR,HHC_21,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FR,HHC_22,479.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005.0,FR,HHC_31,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
