year,geo,hh,population,house_disp,employ_hash_education,employ_total,not_employ_total,employ_f,employ_m,child_avg_allwk,child_avg_allnowk,child_avg
2023,EL,HHC_41,254.0148148148148,33.1,0,102.8931506849315,114.74444444444443,72.22173913043478,117.002,1.3,1.6000000000000003,1.4
2004,ES,HHC_41,0,12.766666666666666,0,0,0,0,0,0,0,0
2005,ES,HHC_41,0,13.100000000000001,0,0,0,0,0,0,0,0
2006,ES,HHC_41,1681.8925925925923,18.23333333333333,0,714.4794871794873,649.8148148148148,481.9166666666666,817.8407407407407,1.4333333333333333,1.6000000000000003,1.4
2007,ES,HHC_41,1686.9296296296297,19.166666666666668,0,735.5641025641025,624.3851851851852,527.1708333333333,828.1833333333335,1.4666666666666668,1.5,1.4
2008,ES,HHC_41,1683.7888888888886,20.8,0,724.8064935064938,650.1370370370372,509.67599999999993,828.2346153846157,1.3333333333333333,1.6666666666666667,1.4
2009,ES,HHC_41,1591.4740740740742,22.7,0,612.9618421052633,728.7037037037037,455.56666666666683,685.6057692307694,1.3666666666666665,1.5,1.4
2010,ES,HHC_41,1579.0481481481477,20.3,0,575.9430379746834,736.4185185185187,416.56153846153836,654.1301886792453,1.3999999999999997,1.3999999999999997,1.4
2011,ES,HHC_41,1504.5962962962963,19.266666666666666,0,554.142105263158,724.562962962963,400.5160000000001,629.4490196078433,1.3666666666666665,1.5,1.4
2012,ES,HHC_41,1475.548148148148,22.666666666666668,0,516.422972972973,767.7814814814815,384.0208333333333,579.9760000000001,1.3666666666666665,1.5,1.4
2013,ES,HHC_41,1406.9962962962961,20.166666666666668,0,453.3243589743592,752.1666666666669,366.94166666666655,491.71666666666675,1.2666666666666666,1.6000000000000003,1.4
2014,ES,HHC_41,1357.5962962962963,19.633333333333333,0,455.42207792207773,708.125925925926,348.052,507.0423076923076,1.3666666666666665,1.3999999999999997,1.4
2015,ES,HHC_41,1303.8555555555556,18.666666666666668,0,459.28311688311703,648.8592592592593,361.9958333333334,503.33773584905674,1.3333333333333333,1.5,1.4
2016,ES,HHC_41,1320.6851851851854,18.433333333333334,0,469.85897435897425,641.925925925926,352.648,525.1471698113207,1.3,1.5,1.4
2017,ES,HHC_41,1288.2518518518516,19.433333333333334,0,490.61282051282035,579.551851851852,353.3384615384615,559.2499999999998,1.3333333333333333,1.3999999999999997,1.3
2018,ES,HHC_41,1301.5666666666666,18.233333333333334,0,504.9474358974358,572.0592592592593,380.76000000000016,563.5264150943395,1.3,1.3999999999999997,1.3
2019,ES,HHC_41,1376.1555555555553,17.966666666666665,0,542.777922077922,602.0851851851852,407.85200000000003,607.6461538461539,1.3,1.3999999999999997,1.4
2020,ES,HHC_41,1358.0888888888892,18.133333333333336,0,505.55194805194805,637.1259259259258,396.3333333333333,555.0094339622642,1.3,1.5,1.3
2021,ES,HHC_41,1604.7407407407406,20.599999999999998,0,584.4887499999998,738.8259259259258,430.0777777777777,663.1509433962265,1.3,1.5,1.4
2022,ES,HHC_41,1556.2592592592594,19.866666666666664,0,599.3862499999998,668.2666666666665,426.7518518518518,687.3320754716979,1.3333333333333333,1.5,1.4
2023,ES,HHC_41,1575.2555555555557,18.0,0,609.4382716049382,661.0925925925926,464.15555555555557,682.0796296296295,1.3333333333333333,1.6000000000000003,1.5
2004,FI,HHC_41,0,12.399999999999999,0,0,0,0,0,0,0,0
2005,FI,HHC_41,0,15.833333333333334,0,0,0,0,0,0,0,0
2006,FI,HHC_41,82.73333333333333,13.133333333333333,0,50.22343749999998,22.95925925925926,34.74545454545454,58.3309523809524,1.9666666666666668,2.2,2.0
2007,FI,HHC_41,82.38888888888889,14.100000000000001,0,51.49375,21.88461538461539,36.18181818181819,59.51428571428571,1.8666666666666665,1.6000000000000003,2.0
2008,FI,HHC_41,75.52222222222223,15.466666666666669,0,47.376562500000006,19.86923076923077,33.33636363636364,54.73095238095239,2.1666666666666665,0,2.1
2009,FI,HHC_41,82.47407407407408,20.266666666666666,0,48.168749999999996,26.057692307692314,34.163636363636364,55.5047619047619,1.9666666666666666,2.7000000000000006,2.2
2010,FI,HHC_41,81.75555555555557,17.8,0,49.9765625,23.840000000000003,35.53181818181818,57.54285714285716,1.8666666666666665,2.3,2.1
2011,FI,HHC_41,83.104,12.6,0,47.503125000000004,23.808695652173913,33.61818181818182,54.77619047619047,1.9666666666666668,1.8999999999999997,2.0
2012,FI,HHC_41,85.62692307692308,12.433333333333332,0,51.032812500000006,23.336000000000002,36.67727272727273,58.55238095238097,2.1333333333333333,2.6,2.1
2013,FI,HHC_41,78.90384615384613,12.566666666666668,0,46.10769230769231,21.74,34.23181818181817,52.18372093023256,1.9000000000000001,2.0,1.9
2014,FI,HHC_41,77.24814814814815,12.466666666666667,0,45.65,25.46666666666667,32.713636363636354,52.42619047619049,2.1,2.4,2.2
2015,FI,HHC_41,73.80740740740741,11.666666666666666,0,41.94153846153846,24.643999999999995,30.304545454545448,47.895348837209305,2.1,3.2000000000000006,2.2
2016,FI,HHC_41,73.92222222222223,12.433333333333332,0,43.69692307692306,22.504,32.14090909090908,49.60930232558139,1.9666666666666668,2.0,2.1
2017,FI,HHC_41,67.70000000000002,16.633333333333333,0,41.31093750000001,19.667999999999996,29.800000000000008,47.34047619047619,2.1333333333333333,2.1,2.1
2018,FI,HHC_41,69.29629629629629,15.100000000000001,0,42.625,19.17692307692308,30.74545454545455,48.847619047619055,1.9000000000000001,2.9,2.1
2019,FI,HHC_41,73.008,13.266666666666666,0,42.001562500000006,19.64583333333334,29.518181818181816,48.540476190476184,2.1666666666666665,1.7,2.2
2020,FI,HHC_41,71.64615384615385,14.033333333333333,0,41.23692307692307,20.539999999999996,30.518181818181823,46.720930232558146,1.9333333333333333,2.7000000000000006,2.0
2021,FI,HHC_41,69.02222222222224,14.6,0,42.94769230769232,17.52692307692308,32.38181818181818,48.35348837209302,1.9666666666666668,1.8999999999999997,2.0
2022,FI,HHC_41,66.2,14.833333333333334,0,38.55312500000001,16.985,27.086363636363636,44.55952380952382,1.9333333333333333,0,1.9
2023,FI,HHC_41,63.16,22.3,0,38.01428571428571,16.1304347826087,28.236363636363638,43.2609756097561,1.9333333333333333,3.0,2.0
2004,FR,HHC_41,0,17.966666666666665,0,0,0,0,0,0,0,0
2005,FR,HHC_41,0,16.8,0,0,0,0,0,0,0,0
2006,FR,HHC_41,1306.1518518518517,18.03333333333333,0,679.5190476190477,510.67407407407416,505.62000000000006,760.4023255813953,1.3333333333333333,1.6000000000000003,1.4
2007,FR,HHC_41,1282.085185185185,18.233333333333334,0,665.1937499999999,491.7851851851851,512.04,734.8090909090909,1.4000000000000001,1.8,1.5
2008,FR,HHC_41,1271.3296296296294,15.633333333333331,0,677.3301587301585,478.5814814814815,511.08999999999986,754.6511627906975,1.4000000000000001,1.8,1.5
2009,FR,HHC_41,1230.2666666666667,16.833333333333332,0,624.6276923076922,476.3222222222223,456.47727272727263,710.6581395348837,1.4000000000000001,1.7,1.5
2010,FR,HHC_41,1225.162962962963,14.0,0,613.7333333333332,473.4851851851853,450.1636363636364,695.518181818182,1.3666666666666665,1.7,1.5
2011,FR,HHC_41,1223.4666666666667,16.933333333333334,0,603.4462686567164,473.4444444444445,454.5636363636364,676.2333333333333,1.3666666666666665,1.8999999999999997,1.5
2012,FR,HHC_41,1226.325925925926,17.466666666666665,0,590.8911764705884,481.1851851851851,451.96363636363634,657.3347826086956,1.4000000000000001,1.8,1.5
2013,FR,HHC_41,1275.244444444444,17.23333333333333,0,586.2376811594203,525.0592592592592,429.3083333333334,669.9333333333333,1.4333333333333333,1.8,1.5
2014,FR,HHC_41,1322.5703703703703,16.7,0,618.5514705882351,542.1037037037038,481.64545454545447,684.0282608695653,1.3666666666666665,1.8,1.5
2015,FR,HHC_41,1292.7814814814815,15.966666666666667,0,597.35,539.0814814814815,472.1681818181818,657.2195652173912,1.3333333333333333,1.8,1.5
2016,FR,HHC_41,1339.7888888888888,18.26666666666667,0,630.2617647058825,544.3888888888888,489.12727272727284,697.7608695652176,1.4000000000000001,1.8999999999999997,1.5
2017,FR,HHC_41,1397.4444444444443,16.4,0,646.49,558.4074074074074,480.4750000000001,733.1065217391305,1.4333333333333333,1.8,1.5
2018,FR,HHC_41,1304.5555555555552,17.400000000000002,0,622.5058823529413,519.1851851851851,486.9636363636364,687.3304347826087,1.4000000000000001,1.8999999999999997,1.5
2019,FR,HHC_41,1282.2407407407406,15.133333333333335,0,625.9838235294117,492.19999999999993,488.1090909090908,691.9239130434784,1.4000000000000001,1.8,1.5
2020,FR,HHC_41,1323.4407407407407,17.833333333333332,0,638.8764705882353,517.2407407407406,504.9318181818182,702.9369565217391,1.4000000000000001,2.0,1.5
2022,FR,HHC_41,1314.177777777778,16.666666666666668,0,566.126582278481,485.9296296296296,437.21153846153834,629.3679245283018,1.4666666666666668,1.8999999999999997,1.5
2010,HR,HHC_41,278.6296296296296,23.5,0,115.05499999999999,108.15555555555555,84.55384615384618,129.7407407407407,1.8,2.6,1.8
2011,HR,HHC_41,278.0444444444445,20.0,0,109.4825,115.83703703703705,78.31538461538463,124.48888888888888,1.7000000000000002,2.2,1.7
2012,HR,HHC_41,265.98888888888894,18.099999999999998,0,103.33417721518987,114.80370370370372,72.91153846153847,118.25849056603774,1.5666666666666667,2.2,1.7
2013,HR,HHC_41,258.8333333333333,19.433333333333334,0,99.10769230769233,115.62592592592593,70.83846153846156,113.24230769230772,1.6333333333333335,2.0,1.7
2014,HR,HHC_41,230.19259259259263,19.3,0,84.17468354430385,107.03333333333332,61.21923076923076,95.43584905660383,1.5999999999999999,1.5,1.5
